City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,westport,US,50.2,overcast clouds,41.14,-73.36,The Inn at Longshore
126,celestun,MX,79.32,broken clouds,20.87,-90.4,Posada Lilia
127,sovetskiy,RU,25.97,light snow,61.36,63.58,Apartment on Kievskaya 29
128,cedar city,US,36.57,overcast clouds,37.68,-113.06,Hampton Inn Cedar City
131,algiers,DZ,58.82,scattered clouds,36.75,3.04,Sofitel Algiers Hamma Garden
132,vestmannaeyjar,IS,39.09,overcast clouds,63.44,-20.27,Glamping & Camping
133,salinas,US,68.85,clear sky,36.68,-121.66,Laurel Inn & Conference Center
134,meulaboh,ID,76.24,overcast clouds,4.14,96.13,Kost Pria
135,katsuura,JP,45.25,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
136,waipawa,NZ,60.67,moderate rain,-41.41,175.52,Tora Coastal Walk
137,tulum,MX,77.25,clear sky,20.22,-87.47,Kin Ha Tulum
138,presidencia roque saenz pena,AR,67.19,clear sky,-26.79,-60.44,Hotel Aconcagua
142,mayo,US,52.18,clear sky,38.89,-76.51,Resorts Resource Group International
143,faanui,PF,83.07,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,mackay,AU,83.68,overcast clouds,-21.15,149.2,International Lodge Motel
146,kerch,UA,37.62,clear sky,45.36,36.48,Khostel
147,pryazha,RU,19.76,scattered clouds,61.69,33.62,Guest house VIRTA
148,moengo,SR,74.68,overcast clouds,5.62,-54.4,Masanga
149,lumberton,US,59.45,clear sky,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
150,mujiayingzi,CN,29.46,broken clouds,42.12,118.78,Jinjiang Hotel
151,camargo,MX,78.08,overcast clouds,27.67,-105.17,Hotel Santa Fe
152,usinsk,RU,20.07,overcast clouds,65.99,57.53,Dobro Pozhalovaty
153,lisala,CD,70.56,overcast clouds,2.15,21.52,Flat hôtel tozelaka
154,farmington,US,54.28,overcast clouds,36.73,-108.22,Courtyard by Marriott Farmington
155,mubende,UG,63.64,overcast clouds,0.56,31.39,Nakayima Hotel
157,olafsvik,IS,33.4,overcast clouds,64.89,-23.71,Hotel Olafsvik
158,hay river,CA,32.63,overcast clouds,60.82,-115.8,Ptarmigan Inn
159,kutum,SD,64.58,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
160,meridian,US,47.25,clear sky,43.61,-116.39,Courtyard by Marriott Boise West/Meridian
161,lorengau,PG,85.37,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
163,athabasca,CA,34.05,overcast clouds,54.72,-113.29,Athabasca Lodge Motel
164,castro,BR,58.48,overcast clouds,-24.79,-50.01,CHACARA BAILLY
165,puerto escondido,MX,83.23,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
166,hamilton,US,55.09,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
167,lakes entrance,AU,71.17,clear sky,-37.88,147.98,The Esplanade Resort & Spa
168,gambela,ET,84.45,overcast clouds,8.25,34.58,Solomon Debebe Hotel
169,northam,GB,45.61,scattered clouds,51.03,-4.22,Durrant House Hotel
170,faya,SA,57.72,clear sky,18.39,42.45,أبو تركي للوحدات السكنيه
171,creel,MX,50.56,clear sky,27.75,-107.63,The Lodge at Creel Hotel & SPA
172,bergerac,FR,53.82,clear sky,44.83,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
173,takhli,TH,84.4,overcast clouds,15.26,100.34,บ้านเพลิน
174,stanislav,UA,30.97,clear sky,46.57,32.15,Hostynnyy Dvir
175,mar del plata,AR,58.87,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata
176,alice springs,AU,89.15,clear sky,-23.7,133.88,Desert Palms Alice Springs
177,lipin bor,RU,27.73,scattered clouds,60.26,37.98,Priozor'ye
178,tura,IN,70.97,clear sky,25.52,90.22,Hotel RIKMAN Continental
179,astoria,US,45.72,moderate rain,46.19,-123.83,Best Western Astoria Bayfront Hotel
182,tautira,PF,82.11,clear sky,-17.73,-149.15,Pension Oaoa
183,atambua,ID,81.1,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
184,surin,TH,86.0,broken clouds,14.88,103.49,Poolpimarn Resort
185,severo-yeniseyskiy,RU,15.31,overcast clouds,60.37,93.04,Aktolik
187,orsha,BY,26.94,clear sky,54.52,30.41,Rudakovo Hotel
188,atar,MR,71.8,clear sky,20.52,-13.05,Oumou Elghoura
189,flinders,AU,73.18,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
190,vardo,NO,34.75,overcast clouds,70.37,31.11,Vardø Hotel AS
191,sawakin,SD,70.77,clear sky,19.11,37.33,فندق الدويم
192,the pas,CA,32.9,overcast clouds,53.83,-101.25,Wescana Inn
193,santa isabel,BR,65.5,overcast clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
194,korla,CN,40.84,overcast clouds,41.76,86.15,Gulisitan Hotel
195,caravelas,BR,76.33,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
196,alta floresta,BR,72.09,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
197,waingapu,ID,83.35,overcast clouds,-9.66,120.26,Pondok Wisata Elim
198,elliot lake,CA,33.66,broken clouds,46.38,-82.63,Paris Plaza
199,bandarbeyla,SO,75.4,clear sky,9.49,50.81,JABIR HOTEL
200,monaragala,LK,73.27,few clouds,6.87,81.35,Silanrich Hotel
202,belyy yar,RU,15.69,overcast clouds,53.6,91.39,Pasportnyy Stol
203,gold coast,AU,84.16,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
204,la palma,US,76.08,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
205,touros,BR,78.57,overcast clouds,-5.2,-35.46,INN NEW HORIZON
206,victoria,HK,77.05,overcast clouds,22.29,114.16,Mini Hotel Central
207,esperance,AU,71.44,overcast clouds,-33.87,121.9,Hospitality Esperance
208,ibotirama,BR,82.47,overcast clouds,-12.19,-43.22,Serra do Rio Hotel
209,thompson,CA,24.91,overcast clouds,55.74,-97.86,Burntwood Hotel
211,rocha,UY,51.87,clear sky,-34.48,-54.33,Hotel Arrarte
212,umm lajj,SA,66.63,clear sky,25.02,37.27,Moon light Furnished Units
213,saint-philippe,RE,76.59,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
214,ancud,CL,57.22,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
215,partizansk,RU,32.0,few clouds,43.13,133.13,"Urochishche Bol'shoy Lipovyy, Baza Otdykha"
216,anori,BR,74.34,light rain,-3.77,-61.64,Novo Hotel 5 Irmãos
217,kaspiyskiy,RU,29.16,clear sky,45.39,47.37,"Gostinitsa ""Gostevoy Dvor"""
218,bud,US,56.68,scattered clouds,39.45,-86.18,Ted McQuinn Trust
219,jiaocheng,CN,71.69,overcast clouds,24.68,116.14,Changtan Tourism Resort
220,mingaora,PK,58.73,clear sky,34.78,72.36,Burj Al Swat
222,kpandae,GH,81.7,overcast clouds,8.47,-0.01,S. Amaski Guest House
224,broome,US,40.62,clear sky,42.25,-75.83,Chenango Valley State Park
225,plettenberg bay,ZA,65.23,clear sky,-34.05,23.37,Thanda Vista B&B
226,la ronge,CA,33.8,overcast clouds,55.1,-105.28,Northland Motor Hotel
227,nanortalik,GL,11.73,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
228,sturgeon bay,US,46.36,clear sky,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
230,champerico,GT,82.67,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
231,visegrad,BA,30.25,clear sky,43.78,19.3,Hotel Višegrad
232,changping,CN,44.24,overcast clouds,40.22,116.22,Huachang Hotel
233,solnechnyy,RU,23.36,few clouds,50.72,136.63,Hotel complex Pastoral
234,lata,PT,54.07,overcast clouds,40.16,-8.33,Casa Maquia
235,lebu,CL,56.93,few clouds,-37.62,-73.65,Hostal Las Lilas
236,karpathos,GR,46.36,overcast clouds,35.51,27.21,Alex
237,bambanglipuro,ID,79.5,overcast clouds,-7.95,110.28,Puri Brata
238,alofi,NU,81.46,light rain,-19.06,-169.92,Taloa Heights
239,eureka,US,54.68,scattered clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
240,hermanus,ZA,67.8,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
