City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
28,saint anthony,US,45.02,-93.22,55.0,43,0,13.8,clear sky
29,daru,PG,-9.08,143.21,87.13,65,100,2.04,overcast clouds
30,egvekinot,RU,66.32,-179.17,0.01,81,97,2.86,overcast clouds
31,kaitangata,NZ,-46.28,169.85,64.0,67,83,9.37,broken clouds
32,svetlaya,RU,46.54,138.33,29.34,51,100,8.08,overcast clouds
33,storslett,NO,69.77,21.02,38.19,58,100,13.65,overcast clouds
34,arklow,IE,52.79,-6.14,46.08,87,100,6.64,overcast clouds
35,mahibadhoo,MV,3.78,72.97,83.41,67,100,12.44,overcast clouds
36,jonesboro,US,35.84,-90.7,60.8,51,0,4.61,clear sky
37,portree,GB,57.41,-6.19,42.53,74,17,5.88,few clouds
38,oss,NL,51.75,5.53,42.1,82,1,2.3,mist
39,hami,CN,42.8,93.45,39.81,31,100,8.55,overcast clouds
40,panjakent,TJ,39.5,67.61,43.21,57,100,5.48,overcast clouds
41,roma,US,43.21,-75.46,39.96,96,100,9.22,overcast clouds
42,san cristobal,VE,7.77,-72.22,73.58,75,90,1.28,overcast clouds
43,fortuna,US,40.6,-124.16,53.85,68,20,10.36,few clouds
44,batemans bay,AU,-35.72,150.18,69.1,62,57,4.16,broken clouds
45,khani,GE,41.96,42.96,29.77,93,100,3.27,overcast clouds
46,baykit,RU,61.67,96.37,21.11,91,100,8.16,overcast clouds
47,dunedin,NZ,-45.87,170.5,62.92,71,62,12.73,broken clouds
48,rudsar,IR,37.14,50.29,41.09,96,100,5.84,overcast clouds
49,borogontsy,RU,62.67,131.17,10.71,85,10,4.29,clear sky
50,ukiah,US,39.15,-123.21,66.43,47,0,6.91,clear sky
51,airai,TL,-8.93,125.41,72.52,59,84,1.05,broken clouds
52,montrose,US,38.42,-108.27,45.81,59,40,7.87,scattered clouds
53,rorvik,NO,64.86,11.24,42.64,75,1,14.32,clear sky
54,tiksi,RU,71.69,128.87,5.67,87,98,9.1,overcast clouds
55,lisakovsk,KZ,52.54,62.49,18.57,95,100,17.34,light snow
56,sur,OM,22.57,59.53,73.44,53,0,5.93,clear sky
57,kashan,IR,33.98,51.44,58.42,27,72,1.88,broken clouds
58,yulara,AU,-25.24,130.99,93.04,17,0,16.11,clear sky
59,namatanai,PG,-3.67,152.43,85.87,63,70,5.64,broken clouds
60,anadyr,RU,64.75,177.48,7.3,77,20,2.24,mist
61,mandalgovi,MN,45.76,106.27,18.43,43,0,2.06,clear sky
62,pendencias,BR,-5.26,-36.72,78.26,82,72,5.97,light rain
63,jardim,BR,-21.48,-56.14,71.87,94,7,4.25,clear sky
64,bayevo,RU,53.28,80.77,15.37,93,100,13.4,overcast clouds
65,kapaa,US,22.08,-159.32,80.11,74,100,8.05,overcast clouds
66,takoradi,GH,4.88,-1.76,79.27,85,92,6.11,overcast clouds
67,kirakira,SB,-10.45,161.92,85.5,64,100,8.1,overcast clouds
68,codajas,BR,-3.84,-62.06,74.48,98,100,0.98,overcast clouds
69,kropotkin,RU,45.44,40.58,28.08,55,5,6.24,clear sky
70,obigarm,TJ,38.72,69.71,38.41,66,100,7.09,overcast clouds
71,fairbanks,US,64.84,-147.72,20.08,53,0,8.05,clear sky
72,arraial do cabo,BR,-22.97,-42.03,76.19,85,100,16.6,overcast clouds
73,port shepstone,ZA,-30.74,30.45,69.55,82,15,7.2,few clouds
74,paita,PE,-5.09,-81.11,75.69,73,91,13.8,overcast clouds
75,hofn,IS,64.25,-15.21,38.7,73,100,9.33,overcast clouds
76,mnogovershinnyy,RU,53.94,139.92,13.6,69,9,10.65,clear sky
77,elizabeth city,US,36.29,-76.25,60.03,44,75,21.85,broken clouds
78,caconda,AO,-13.73,15.07,61.56,93,100,3.38,light rain
79,tabou,CI,4.42,-7.35,79.48,86,100,4.38,overcast clouds
80,gravdal,NO,68.12,13.5,42.84,80,100,32.53,overcast clouds
81,barahona,DO,18.21,-71.1,76.32,76,1,6.93,clear sky
82,paramonga,PE,-10.67,-77.83,70.32,83,100,7.72,overcast clouds
83,the valley,AI,18.22,-63.06,78.66,70,9,21.16,clear sky
84,calatayud,ES,41.35,-1.64,48.13,90,100,6.78,overcast clouds
85,kodiak,US,57.79,-152.41,36.91,87,100,12.66,overcast clouds
86,korgen,NO,66.08,13.82,33.19,68,18,5.97,few clouds
87,yar-sale,RU,66.83,70.83,11.93,96,85,10.6,overcast clouds
88,ardesen,TR,41.19,40.99,36.48,82,100,3.04,overcast clouds
89,pucallpa,PE,-8.38,-74.55,75.24,100,75,5.75,light rain
90,coquimbo,CL,-29.95,-71.34,58.73,88,0,4.61,clear sky
